# N2O/HTPB equilibrium combustion properties for the chamber.
# Generated by scripts/generate_thermochemistry_table.py -- do not edit by hand.
#
# Solver     : NASA CEA via rocketcea (Gordon & McBride, NASA RP-1311).
# Oxidizer   : oxid NitrousOxide  N 2.0 O 1.0  wt%=100.00 h,cal= 19467.0 t(k)=298.15
# Fuel       : fuel R-45(HTPB FROM_RPL_DATA) C 7.3165 H 10.3360 O 0.1063    wt%=100.00 h,cal= 1200.0 t(k)=298.15 rho=0.9220
# Assumption : equilibrium composition; chamber (stagnation) properties.
# O/F        : oxidizer mass flow / fuel mass flow.
# c*         : IDEAL equilibrium characteristic velocity. A combustion
#              efficiency is applied downstream and is NOT included here.
# gamma      : CEA chamber GAMMAs (isentropic exponent).
# molar mass : effective_molar_mass is CEA's M,(1/n), the total mixture mass
#              per mole of gas -- the quantity that reproduces CEA's own sound
#              speed when a condensed phase is present. gas_molar_mass is the
#              gas-phase MW, kept only as a diagnostic; their ratio flags soot.
# Units      : O/F [-], pressure [Pa], c* [m/s], gamma [-], T [K],
#              molar mass [kg/mol], R [J/(kg K)].
# NOT experimentally validated. Generic reduced-order educational study.
of,chamber_pressure_pa,ideal_cstar_m_s,gamma,chamber_temperature_k,effective_molar_mass_kg_mol,gas_molar_mass_kg_mol,specific_gas_constant_j_kg_k
1.425,1500000.0,1265.671103588704,1.2301302323301386,1713.5809100313465,0.02072217579356803,0.015513181706795826,401.2350199529111
1.425,1750000.0,1266.0327024923126,1.2296974030446357,1715.0275153096256,0.020735314026494263,0.015524358797382055,400.98079090465234
1.425,2000000.0,1266.3811819474536,1.2292749750337977,1716.4449741642343,0.02074822281441914,0.015535347000838485,400.7313152730266
1.425,2250000.0,1266.7174624966112,1.228862861646436,1717.8349114070013,0.020760913004011075,0.015546155471407938,400.48636668308467
1.425,2500000.0,1267.0423246789285,1.2284610839200707,1719.1987261229513,0.020773392861394686,0.015556790228580716,400.24576984011185
1.425,2750000.0,1267.3565135688223,1.2280693176006818,1720.5376374780683,0.02078567118360707,0.015567258541473781,400.00934030734237
1.425,3000000.0,1267.6606943146471,1.2276872322945087,1721.8527356576094,0.020797755746369447,0.015577566643357223,399.7769143649748
1.425,3250000.0,1267.9554722191544,1.2273144661907316,1723.145011152302,0.02080965379608033,0.015587720359748175,399.54833941380116
1.425,3500000.0,1268.2413993982207,1.2269506474950396,1724.415373586634,0.02082137211310218,0.015597725153640003,399.3234726720047
1.425,3750000.0,1268.5189110402823,1.2265953633147653,1725.6647000759938,0.020832917910142565,0.015607586756871482,399.1021638861295
1.425,4000000.0,1268.788628853376,1.2262480093105663,1726.8936709116904,0.020844296134620664,0.015617309438838205,398.88430697308894
1.425,4250000.0,1269.0508522820742,1.2259088351086376,1728.1031271966788,0.020855512164821954,0.01562689726443966,398.6697882214767
1.425,4500000.0,1269.3060003807523,1.2255771968767057,1729.2937186249094,0.020866571830506594,0.015636355067012827,398.4584859236144
